activity_column,class,rank,sensor,importance,n_samples
HL_Activity,Cleanup,3,Accelerometer_GLASS_accX_2,0.04931154284900142,85797.0
HL_Activity,Cleanup,4,Accelerometer_KNIFE2_accX,0.03864549547485286,85797.0
HL_Activity,Cleanup,5,Accelerometer_DISHWASHER_accZ,0.037670528837156686,85797.0
HL_Activity,Cleanup,6,Accelerometer_PLATE_accX_3,0.03670463674568206,85797.0
HL_Activity,Cleanup,7,Accelerometer_KNIFE1_accX_2,0.03558915449079043,85797.0
HL_Activity,Cleanup,8,Accelerometer_KNIFE1_accX,0.032852995735809826,85797.0
HL_Activity,Cleanup,9,Accelerometer_DISHWASHER_accX,0.027165472482529995,85797.0
HL_Activity,Cleanup,10,Accelerometer_CUP_accX_2,0.022629703696185454,85797.0
HL_Activity,Coffee time,1,LOCATION_TAG1_X,0.045639137456313546,88113.0
HL_Activity,Coffee time,2,LOCATION_TAG4_X,0.044733018790248574,88113.0
HL_Activity,Coffee time,3,Accelerometer_KNIFE2_accX_2,0.029084429115575655,88113.0
HL_Activity,Coffee time,4,InertialMeasurementUnit_LUA_magneticX,0.023291251724381602,88113.0
HL_Activity,Coffee time,5,InertialMeasurementUnit_BACK_magneticX,0.0223189846025828,88113.0
HL_Activity,Coffee time,6,InertialMeasurementUnit_LLA_magneticY,0.021112605172818433,88113.0
HL_Activity,Coffee time,7,InertialMeasurementUnit_RLA_magneticX,0.0196392015752148,88113.0
HL_Activity,Coffee time,8,LOCATION_TAG2_Z,0.019353137922613558,88113.0
HL_Activity,Coffee time,9,LOCATION_TAG2_Y,0.01861090054647411,88113.0
HL_Activity,Coffee time,10,InertialMeasurementUnit_BACK_magneticZ,0.018096610877913998,88113.0
HL_Activity,Early morning,1,Accelerometer_SPOON_accX_3,0.06258567857210012,138449.0
HL_Activity,Early morning,2,LOCATION_TAG4_X,0.05102609009155316,138449.0
HL_Activity,Early morning,3,Accelerometer_LWR_accY,0.04838225028571047,138449.0
HL_Activity,Early morning,4,InertialMeasurementUnit_BACK_magneticX,0.03630560502781676,138449.0
HL_Activity,Early morning,5,Accelerometer_SPOON_accX_2,0.03502188469893385,138449.0
HL_Activity,Early morning,6,InertialMeasurementUnit_LUA_magneticX,0.03208903199100401,138449.0
HL_Activity,Early morning,7,InertialMeasurementUnit_LLA_magneticX,0.03191612194957213,138449.0
HL_Activity,Early morning,8,Accelerometer_SPOON_accX,0.031849876373740725,138449.0
HL_Activity,Early morning,9,InertialMeasurementUnit_LLA_accX,0.031816786431493355,138449.0
HL_Activity,Early morning,10,InertialMeasurementUnit_RUA_magneticX,0.031616210214316987,138449.0
HL_Activity,Relaxing,1,LOCATION_TAG1_X,0.08072226313511771,43941.0
HL_Activity,Relaxing,2,InertialMeasurementUnit_L-SHOE_EuY,0.05685645320469947,43941.0
HL_Activity,Relaxing,3,Accelerometer_RKN^_accY,0.05005045187680769,43941.0
HL_Activity,Relaxing,4,LOCATION_TAG4_X,0.0494490297096874,43941.0
HL_Activity,Relaxing,5,Accelerometer_HIP_accY,0.04006252366867101,43941.0
HL_Activity,Relaxing,6,Accelerometer_LAZYCHAIR_accX,0.03422754710761546,43941.0
HL_Activity,Relaxing,7,Accelerometer_LUA^_accY,0.029790848207181267,43941.0
HL_Activity,Relaxing,8,LOCATION_TAG2_X,0.029473471553810488,43941.0
HL_Activity,Relaxing,9,InertialMeasurementUnit_L-SHOE_Body_Ay,0.02281738031886289,43941.0
HL_Activity,Relaxing,10,Accelerometer_LAZYCHAIR_accY,0.020442184292697906,43941.0
HL_Activity,Sandwich time,1,Accelerometer_SPOON_accX_3,0.0763476378683395,174278.0
HL_Activity,Sandwich time,2,LOCATION_TAG4_X,0.04708945211944269,174278.0
HL_Activity,Sandwich time,3,Accelerometer_SPOON_accX,0.04527380236773639,174278.0
HL_Activity,Sandwich time,4,Accelerometer_SPOON_accX_2,0.03947670735845525,174278.0
HL_Activity,Sandwich time,5,InertialMeasurementUnit_LLA_magneticX,0.0319913662181255,174278.0
HL_Activity,Sandwich time,6,Accelerometer_RKN^_accZ,0.029223050152280917,174278.0
HL_Activity,Sandwich time,7,LOCATION_TAG1_X,0.027159503145644304,174278.0
HL_Activity,Sandwich time,8,LOCATION_TAG3_X,0.02439220509767126,174278.0
HL_Activity,Sandwich time,9,InertialMeasurementUnit_LLA_accX,0.020977994332027752,174278.0
HL_Activity,Sandwich time,10,Accelerometer_LWR_accY,0.020098159897185122,174278.0
LL_Left_Arm,_overall,1,InertialMeasurementUnit_BACK_Quaternion1,0.025368789565337963,
LL_Left_Arm,_overall,2,InertialMeasurementUnit_LLA_accX,0.02351734989826942,
LL_Left_Arm,_overall,3,LOCATION_TAG1_X,0.021661676298977164,
LL_Left_Arm,_overall,4,InertialMeasurementUnit_BACK_Quaternion3,0.017157740866342558,
LL_Left_Arm,_overall,5,InertialMeasurementUnit_LLA_magneticX,0.015978023074828925,
LL_Left_Arm,_overall,6,LOCATION_TAG4_X,0.015941879240770184,
LL_Left_Arm,_overall,7,Accelerometer_LWR_accY,0.015296563215393267,
LL_Left_Arm,_overall,8,InertialMeasurementUnit_BACK_magneticZ,0.015167889609711875,
LL_Left_Arm,_overall,9,InertialMeasurementUnit_LUA_accY,0.014554196759887733,
LL_Left_Arm,_overall,10,InertialMeasurementUnit_RLA_accX,0.014352126331659953,
LL_Left_Arm,bite,1,InertialMeasurementUnit_LLA_accX,0.099102536708728,3134.0
LL_Left_Arm,bite,2,Accelerometer_LWR_accY,0.0695186264933856,3134.0
LL_Left_Arm,bite,3,Accelerometer_LUA__accY,0.05844969271792924,3134.0
LL_Left_Arm,bite,4,InertialMeasurementUnit_LUA_magneticX,0.05802599005153035,3134.0
LL_Left_Arm,bite,5,InertialMeasurementUnit_LUA_accY,0.048041440411735706,3134.0
LL_Left_Arm,bite,6,InertialMeasurementUnit_LLA_magneticZ,0.03767587890112863,3134.0
LL_Left_Arm,bite,7,Accelerometer_RKN^_accZ,0.03396583866589363,3134.0
LL_Left_Arm,bite,8,InertialMeasurementUnit_RUA_accY,0.028069345599937075,3134.0
LL_Left_Arm,bite,9,InertialMeasurementUnit_LUA_accX,0.027048489996208777,3134.0
LL_Left_Arm,bite,10,Accelerometer_RKN^_accY,0.025339068210657022,3134.0
LL_Left_Arm,clean,1,Accelerometer_KNIFE2_accX_2,0.10655101128843235,1003.0
LL_Left_Arm,clean,2,Accelerometer_GLASS_accX_2,0.09947745667901821,1003.0
